"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32"
"5350011.02",2.90,6690.00,2252.00,804000.00,2126.00,6570.00,5.00,0.00,10.00,0.00,35.00,6520.00,1.50,9385.00,88000.00,180.00,9335.00,85.00,7700.00,910.00,8450.00,1000.00,7445.00,4805.00,355.00,190.00,1865.00,220.00,80.40,8.30,8345.00,8185.00
"5350011.03",3.00,3995.00,2504.00,822000.00,2180.00,4120.00,0.00,0.00,0.00,0.00,25.00,4090.00,1.50,6030.00,84000.00,45.00,5845.00,30.00,4890.00,685.00,5170.00,750.00,4420.00,2815.00,210.00,75.00,1245.00,70.00,78.30,8.50,5040.00,4930.00
"5350012.01",3.10,7895.00,2172.00,731000.00,2026.00,7895.00,0.00,0.00,65.00,0.00,5.00,7825.00,1.70,12365.00,84000.00,535.00,11835.00,260.00,10135.00,1695.00,10180.00,2085.00,8100.00,5170.00,390.00,105.00,2275.00,150.00,74.60,11.10,10375.00,10180.00
"5350012.03",3.30,5200.00,2242.00,764000.00,2088.00,5175.00,0.00,0.00,0.00,0.00,5.00,5170.00,1.70,8345.00,98000.00,240.00,8150.00,105.00,7090.00,730.00,7445.00,1120.00,6325.00,3945.00,345.00,105.00,1815.00,115.00,78.30,8.60,7190.00,7055.00
"5350012.04",3.30,3460.00,2120.00,856000.00,2144.00,3480.00,0.00,0.00,0.00,0.00,0.00,3480.00,1.60,5380.00,95000.00,145.00,5165.00,65.00,4260.00,600.00,4580.00,895.00,3690.00,2205.00,245.00,55.00,1020.00,155.00,72.80,10.80,4335.00,4205.00
"5350013.01",3.20,4285.00,2288.00,831000.00,1808.00,4240.00,0.00,0.00,0.00,0.00,45.00,4190.00,1.60,6365.00,91000.00,235.00,6095.00,95.00,4940.00,830.00,5295.00,995.00,4300.00,2480.00,240.00,70.00,1395.00,120.00,69.50,9.60,4860.00,4755.00
"5350013.02",3.40,6130.00,2426.00,969000.00,2338.00,6175.00,5.00,0.00,0.00,0.00,5.00,6165.00,1.70,9720.00,100000.00,300.00,9455.00,80.00,7505.00,1000.00,8495.00,1275.00,7225.00,4125.00,370.00,195.00,2190.00,345.00,70.30,10.00,7620.00,7510.00
"5350014.00",3.20,1335.00,3460.00,1315000.00,2464.00,1315.00,0.00,0.00,0.00,0.00,0.00,1310.00,1.60,2020.00,92000.00,30.00,2010.00,15.00,1585.00,240.00,1770.00,200.00,1570.00,905.00,70.00,60.00,495.00,35.00,70.80,10.80,1625.00,1595.00
"5350015.00",3.40,3015.00,2242.00,881000.00,2018.00,3045.00,0.00,0.00,10.00,0.00,55.00,2985.00,1.60,4570.00,94000.00,210.00,4370.00,100.00,3400.00,530.00,3870.00,710.00,3155.00,1800.00,240.00,110.00,860.00,145.00,65.20,12.20,3400.00,3325.00
"5350016.00",3.20,6845.00,2260.00,794000.00,1850.00,6845.00,5.00,20.00,225.00,25.00,750.00,5790.00,1.60,10165.00,95000.00,485.00,9675.00,270.00,8250.00,1250.00,8490.00,1660.00,6825.00,4260.00,435.00,115.00,1755.00,250.00,74.10,10.80,8440.00,8265.00
"5350017.01",3.30,2905.00,2338.00,766000.00,1960.00,2950.00,0.00,0.00,0.00,0.00,5.00,2940.00,1.60,4410.00,94000.00,170.00,4140.00,110.00,3540.00,465.00,3680.00,835.00,2850.00,1800.00,185.00,35.00,720.00,105.00,76.00,8.90,3595.00,3535.00
"5350017.02",3.50,5185.00,2044.00,769000.00,1500.00,5140.00,0.00,5.00,410.00,65.00,215.00,4440.00,1.70,7950.00,69500.00,670.00,7380.00,310.00,5585.00,1540.00,5960.00,1835.00,4120.00,2630.00,240.00,65.00,1015.00,165.00,59.80,14.10,5605.00,5395.00
"5350018.00",3.90,1940.00,2484.00,1110000.00,2036.00,1990.00,50.00,200.00,185.00,15.00,375.00,1155.00,1.80,3215.00,105000.00,130.00,3015.00,45.00,2660.00,520.00,2505.00,530.00,1975.00,1280.00,130.00,35.00,475.00,55.00,76.20,10.30,2670.00,2620.00
"5350019.00",5.00,1415.00,2192.00,1132000.00,1284.00,1370.00,55.00,410.00,40.00,70.00,675.00,95.00,2.20,2620.00,80000.00,520.00,2235.00,295.00,1800.00,530.00,1720.00,590.00,1130.00,805.00,55.00,15.00,240.00,15.00,56.40,11.90,1765.00,1735.00
"5350020.00",6.00,1005.00,2392.00,1524000.00,3000.00,990.00,225.00,160.00,115.00,5.00,145.00,340.00,2.30,1940.00,147000.00,120.00,1895.00,0.00,1180.00,370.00,1525.00,325.00,1195.00,670.00,45.00,30.00,380.00,70.00,52.10,12.90,1200.00,1185.00
"5350021.00",5.00,2595.00,2615.00,1700000.00,1700.00,2610.00,390.00,260.00,90.00,150.00,1710.00,0.00,2.00,4455.00,89000.00,300.00,4085.00,130.00,2840.00,930.00,3200.00,985.00,2215.00,1345.00,155.00,50.00,535.00,135.00,59.80,11.50,2960.00,2865.00
"5350022.00",6.80,1475.00,2765.00,1704000.00,1660.00,1480.00,600.00,270.00,65.00,75.00,465.00,0.00,2.60,3120.00,149000.00,260.00,2840.00,35.00,2060.00,550.00,2300.00,465.00,1835.00,1150.00,130.00,30.00,470.00,60.00,63.30,11.30,2220.00,2115.00
"5350023.00",6.60,1410.00,2508.00,1736000.00,1720.00,1410.00,730.00,105.00,15.00,70.00,385.00,100.00,2.40,2800.00,134000.00,220.00,2595.00,35.00,1740.00,495.00,2115.00,400.00,1710.00,1010.00,115.00,40.00,470.00,80.00,58.40,11.60,1860.00,1805.00
"5350024.00",5.70,2940.00,2712.00,1456000.00,1724.00,2940.00,650.00,670.00,65.00,145.00,1190.00,230.00,2.30,5535.00,115000.00,540.00,4990.00,165.00,3775.00,1120.00,3930.00,1000.00,2930.00,1905.00,140.00,55.00,745.00,85.00,64.70,9.80,3975.00,3890.00
"5350025.00",5.20,1635.00,2432.00,1214000.00,1336.00,1630.00,220.00,295.00,225.00,55.00,815.00,0.00,2.20,2905.00,84000.00,410.00,2465.00,205.00,2005.00,600.00,1940.00,615.00,1320.00,830.00,80.00,0.00,365.00,40.00,60.00,11.30,1940.00,1880.00
"5350026.00",5.20,2735.00,2196.00,1134000.00,1412.00,2740.00,560.00,615.00,270.00,175.00,1010.00,80.00,2.30,5245.00,98000.00,890.00,4360.00,480.00,3615.00,1190.00,3230.00,975.00,2255.00,1400.00,155.00,20.00,595.00,80.00,60.90,11.30,3600.00,3540.00
"5350027.00",5.60,1770.00,2132.00,1184000.00,1396.00,1760.00,190.00,450.00,115.00,100.00,845.00,55.00,2.50,3600.00,98000.00,725.00,2915.00,365.00,2270.00,730.00,2255.00,795.00,1460.00,955.00,70.00,0.00,365.00,65.00,57.80,15.30,2485.00,2395.00
"5350028.01",4.30,675.00,2390.00,1236000.00,2380.00,650.00,10.00,165.00,100.00,15.00,145.00,225.00,2.00,1130.00,118000.00,55.00,1110.00,15.00,960.00,190.00,920.00,225.00,695.00,405.00,40.00,15.00,195.00,40.00,81.10,4.10,985.00,980.00
"5350028.02",4.60,2705.00,2296.00,1100000.00,1648.00,2765.00,240.00,535.00,215.00,185.00,490.00,1075.00,2.10,4995.00,109000.00,570.00,4250.00,225.00,3620.00,835.00,3435.00,835.00,2605.00,1665.00,115.00,30.00,695.00,100.00,65.50,11.20,3560.00,3470.00
"5350029.00",4.80,2915.00,2194.00,1190000.00,1314.00,2945.00,185.00,335.00,900.00,225.00,1020.00,265.00,2.30,5765.00,92000.00,1100.00,4570.00,535.00,3585.00,1095.00,3530.00,1050.00,2475.00,1525.00,170.00,55.00,625.00,95.00,58.20,15.80,3915.00,3790.00
"5350030.00",3.70,3445.00,2162.00,858000.00,1500.00,3265.00,10.00,45.00,340.00,10.00,340.00,2460.00,2.10,5955.00,76500.00,805.00,5470.00,470.00,4160.00,1550.00,3965.00,1245.00,2720.00,1765.00,140.00,55.00,650.00,105.00,52.70,16.30,3955.00,3825.00
"5350031.00",3.10,2670.00,2010.00,656000.00,1005.00,2845.00,0.00,0.00,185.00,5.00,260.00,2390.00,2.10,5055.00,52000.00,935.00,3800.00,520.00,2885.00,1210.00,2625.00,1070.00,1555.00,1055.00,70.00,0.00,390.00,40.00,48.80,18.90,2850.00,2725.00
"5350032.00",3.30,3360.00,2510.00,1228000.00,1171.00,3320.00,50.00,65.00,255.00,30.00,1135.00,1780.00,1.60,5010.00,41600.00,860.00,4305.00,515.00,3100.00,1270.00,3110.00,1080.00,2030.00,1285.00,120.00,40.00,515.00,70.00,50.90,20.40,3300.00,3125.00
"5350033.00",3.20,3085.00,2070.00,956000.00,991.00,3120.00,10.00,50.00,225.00,45.00,550.00,2240.00,1.70,4750.00,36400.00,755.00,3840.00,410.00,2855.00,1125.00,2755.00,1070.00,1690.00,1070.00,80.00,55.00,410.00,75.00,46.60,19.50,2660.00,2505.00
"5350034.01",3.30,3110.00,2000.00,844000.00,1640.00,3160.00,5.00,10.00,105.00,20.00,75.00,2930.00,1.60,4860.00,62400.00,190.00,4475.00,65.00,2970.00,780.00,3725.00,530.00,3195.00,1815.00,190.00,145.00,860.00,195.00,59.60,12.80,3195.00,3080.00
"5350034.02",3.00,4930.00,2046.00,744000.00,1638.00,4900.00,10.00,10.00,0.00,5.00,165.00,4700.00,1.60,7405.00,61600.00,430.00,6965.00,245.00,5195.00,1275.00,5750.00,1305.00,4445.00,2825.00,260.00,105.00,1145.00,115.00,64.00,14.70,5545.00,5330.00
"5350035.00",3.10,6125.00,1906.00,818000.00,2018.00,6150.00,0.00,0.00,0.00,0.00,35.00,6115.00,1.70,9655.00,66000.00,310.00,9320.00,105.00,6950.00,1545.00,7810.00,1000.00,6805.00,3505.00,220.00,665.00,1905.00,515.00,62.50,13.90,6995.00,6685.00
"5350036.00",3.40,3425.00,2040.00,820000.00,1604.00,3400.00,5.00,20.00,135.00,40.00,430.00,2755.00,1.70,5310.00,65500.00,555.00,4795.00,170.00,3585.00,1005.00,3800.00,790.00,3015.00,1805.00,105.00,135.00,785.00,180.00,60.10,14.00,3740.00,3620.00
"5350037.00",4.10,2335.00,1960.00,1180000.00,1728.00,2360.00,15.00,55.00,65.00,50.00,965.00,1175.00,1.90,4250.00,61200.00,405.00,3805.00,220.00,2525.00,950.00,2870.00,640.00,2235.00,1320.00,105.00,145.00,540.00,125.00,52.10,20.10,2745.00,2645.00
"5350038.00",4.10,1655.00,1860.00,1088000.00,1452.00,1720.00,40.00,100.00,145.00,120.00,750.00,550.00,2.00,3305.00,51600.00,605.00,2535.00,260.00,1805.00,855.00,1705.00,470.00,1235.00,840.00,20.00,20.00,295.00,60.00,48.50,18.80,1865.00,1800.00
"5350039.00",3.90,2110.00,2060.00,870000.00,1306.00,2045.00,10.00,20.00,195.00,5.00,670.00,1140.00,2.20,4010.00,63600.00,985.00,3190.00,440.00,2325.00,1130.00,2095.00,810.00,1295.00,850.00,85.00,30.00,280.00,50.00,42.80,20.10,2240.00,2095.00
"5350040.00",5.70,1735.00,2144.00,1396000.00,1712.00,1740.00,130.00,225.00,335.00,310.00,645.00,0.00,2.40,3805.00,90000.00,860.00,2950.00,425.00,2365.00,870.00,2090.00,600.00,1490.00,910.00,95.00,35.00,390.00,70.00,54.30,12.30,2355.00,2305.00
"5350041.00",5.20,1480.00,2136.00,1320000.00,2120.00,1480.00,65.00,185.00,295.00,45.00,650.00,235.00,2.20,2955.00,97000.00,630.00,2315.00,220.00,1925.00,545.00,1790.00,460.00,1335.00,845.00,50.00,20.00,330.00,85.00,61.50,14.60,2125.00,2075.00
"5350042.00",5.40,1965.00,2016.00,1584000.00,1696.00,1960.00,120.00,220.00,105.00,235.00,1135.00,20.00,2.20,3875.00,86000.00,750.00,3065.00,265.00,2525.00,735.00,2365.00,535.00,1830.00,1140.00,115.00,35.00,485.00,60.00,60.80,12.10,2645.00,2590.00
"5350043.00",5.10,1660.00,2312.00,1492000.00,1884.00,1660.00,60.00,120.00,155.00,220.00,790.00,200.00,2.10,3175.00,96000.00,585.00,2650.00,210.00,2165.00,615.00,2055.00,485.00,1570.00,1065.00,75.00,10.00,390.00,30.00,64.50,12.00,2370.00,2320.00
"5350044.01",4.70,2385.00,2208.00,1320000.00,1864.00,2410.00,80.00,120.00,240.00,145.00,1065.00,745.00,2.10,4440.00,95000.00,755.00,3680.00,270.00,3060.00,755.00,2965.00,785.00,2180.00,1395.00,105.00,0.00,575.00,100.00,64.40,12.50,3255.00,3185.00
"5350044.02",3.10,2695.00,2072.00,646000.00,1870.00,2700.00,0.00,5.00,15.00,5.00,85.00,2590.00,1.60,3975.00,80000.00,165.00,3780.00,110.00,3375.00,620.00,3175.00,730.00,2445.00,1705.00,75.00,15.00,595.00,50.00,76.60,11.80,3425.00,3360.00
"5350045.00",4.80,1480.00,1900.00,1315000.00,1672.00,1455.00,95.00,145.00,115.00,30.00,925.00,135.00,2.20,2795.00,85000.00,595.00,2200.00,265.00,1875.00,575.00,1655.00,415.00,1245.00,835.00,20.00,20.00,310.00,50.00,62.30,14.70,2040.00,1985.00
"5350046.00",5.40,1335.00,2016.00,1150000.00,1435.00,1320.00,85.00,175.00,265.00,55.00,610.00,95.00,2.40,2765.00,83000.00,690.00,2120.00,270.00,1735.00,720.00,1445.00,535.00,905.00,575.00,35.00,0.00,245.00,45.00,59.00,12.70,1895.00,1835.00
"5350047.02",3.70,1765.00,2130.00,1176000.00,1178.00,1775.00,55.00,100.00,35.00,65.00,615.00,905.00,2.00,3065.00,54400.00,825.00,2245.00,440.00,1675.00,710.00,1595.00,630.00,965.00,580.00,80.00,30.00,245.00,35.00,47.60,16.80,1760.00,1690.00
"5350047.03",4.00,565.00,2670.00,1024000.00,2120.00,550.00,30.00,20.00,10.00,15.00,475.00,0.00,1.90,905.00,115000.00,60.00,895.00,25.00,760.00,170.00,730.00,120.00,600.00,360.00,30.00,25.00,145.00,40.00,74.90,7.70,775.00,770.00
"5350047.04",6.00,1135.00,2092.00,1448000.00,1790.00,1125.00,195.00,290.00,110.00,165.00,365.00,0.00,2.40,2290.00,114000.00,300.00,1985.00,85.00,1635.00,425.00,1600.00,430.00,1175.00,730.00,75.00,40.00,295.00,25.00,64.40,8.60,1625.00,1610.00
"5350048.00",5.40,1455.00,2552.00,1568000.00,1632.00,1475.00,205.00,245.00,70.00,75.00,635.00,235.00,2.30,2780.00,93000.00,320.00,2395.00,135.00,2015.00,495.00,1940.00,535.00,1405.00,830.00,90.00,20.00,415.00,50.00,65.70,12.90,2055.00,1990.00
"5350049.00",5.90,1355.00,2675.00,1696000.00,1692.00,1365.00,225.00,240.00,10.00,135.00,705.00,50.00,2.30,2665.00,106000.00,220.00,2480.00,40.00,1980.00,515.00,1995.00,485.00,1510.00,900.00,105.00,0.00,420.00,85.00,65.80,10.60,1990.00,1940.00
"5350050.01",5.00,4230.00,2058.00,1100000.00,2004.00,4235.00,945.00,40.00,160.00,50.00,380.00,2660.00,2.00,7490.00,103000.00,555.00,6825.00,150.00,4845.00,1175.00,5700.00,1455.00,4255.00,2445.00,255.00,115.00,1230.00,200.00,61.30,9.70,5010.00,4925.00
"5350050.03",4.80,585.00,2390.00,1184000.00,1680.00,565.00,125.00,0.00,100.00,5.00,5.00,325.00,1.90,950.00,106000.00,50.00,920.00,10.00,700.00,155.00,770.00,170.00,600.00,275.00,45.00,0.00,225.00,50.00,67.20,7.70,715.00,700.00
"5350050.04",5.50,2145.00,2384.00,1656000.00,1332.00,2145.00,810.00,135.00,10.00,85.00,815.00,285.00,2.30,4025.00,90000.00,445.00,3690.00,160.00,2650.00,800.00,2925.00,770.00,2155.00,1195.00,140.00,50.00,655.00,110.00,56.80,14.90,2755.00,2660.00
"5350051.00",6.00,2135.00,2910.00,2144000.00,1632.00,2140.00,530.00,95.00,0.00,255.00,1140.00,95.00,2.30,4150.00,102000.00,315.00,3780.00,80.00,2880.00,645.00,3140.00,620.00,2520.00,1450.00,125.00,70.00,685.00,190.00,66.60,11.40,3070.00,3040.00
"5350052.00",5.30,1865.00,2328.00,1312000.00,1792.00,1865.00,195.00,360.00,90.00,70.00,635.00,500.00,2.20,3445.00,104000.00,370.00,3090.00,100.00,2520.00,605.00,2530.00,585.00,1945.00,1145.00,85.00,25.00,555.00,140.00,68.90,8.50,2595.00,2570.00
"5350053.00",4.70,2660.00,1962.00,1060000.00,1596.00,2645.00,130.00,315.00,60.00,285.00,1365.00,395.00,2.20,5165.00,84000.00,1080.00,4060.00,480.00,3410.00,975.00,3135.00,945.00,2195.00,1415.00,105.00,0.00,575.00,90.00,61.80,13.60,3670.00,3590.00
"5350054.00",4.60,2610.00,2168.00,1560000.00,1608.00,2630.00,175.00,190.00,50.00,85.00,1260.00,865.00,2.10,4835.00,72500.00,825.00,4035.00,290.00,3225.00,905.00,3175.00,1050.00,2130.00,1300.00,115.00,25.00,590.00,95.00,58.60,15.20,3355.00,3255.00
"5350055.00",5.10,1310.00,2050.00,1505000.00,1816.00,1305.00,90.00,125.00,0.00,120.00,855.00,80.00,2.10,2440.00,87000.00,245.00,2215.00,65.00,1765.00,510.00,1715.00,395.00,1320.00,860.00,65.00,25.00,280.00,95.00,65.00,9.30,1760.00,1735.00
"5350056.00",5.50,1955.00,2156.00,1500000.00,1952.00,1960.00,165.00,480.00,155.00,180.00,945.00,0.00,2.30,4000.00,94000.00,710.00,3230.00,175.00,2690.00,750.00,2515.00,620.00,1895.00,1185.00,90.00,25.00,510.00,75.00,61.60,10.50,2715.00,2670.00
"5350057.00",5.00,1115.00,2350.00,1740000.00,1876.00,1080.00,35.00,180.00,80.00,15.00,780.00,5.00,2.10,2060.00,84000.00,245.00,1875.00,80.00,1345.00,430.00,1455.00,335.00,1125.00,685.00,70.00,20.00,255.00,90.00,65.50,14.50,1620.00,1570.00
"5350058.00",5.10,1800.00,2600.00,1988000.00,1840.00,1830.00,90.00,200.00,75.00,95.00,1095.00,235.00,2.00,3420.00,85000.00,355.00,3060.00,55.00,2335.00,520.00,2550.00,570.00,1980.00,1005.00,125.00,55.00,605.00,190.00,64.10,11.20,2460.00,2425.00
"5350059.00",5.60,1430.00,2080.00,1644000.00,2108.00,1400.00,70.00,140.00,210.00,80.00,880.00,0.00,2.20,2865.00,96000.00,315.00,2595.00,65.00,1850.00,600.00,2020.00,390.00,1630.00,890.00,105.00,35.00,425.00,175.00,60.90,13.40,2040.00,1985.00
"5350060.00",4.10,1330.00,1980.00,1276000.00,1816.00,1365.00,50.00,80.00,75.00,80.00,310.00,720.00,1.90,2355.00,80000.00,130.00,2190.00,25.00,1580.00,355.00,1840.00,300.00,1540.00,805.00,45.00,75.00,465.00,155.00,59.40,16.20,1640.00,1555.00
"5350061.00",3.10,485.00,,1600000.00,1140.00,480.00,10.00,5.00,10.00,10.00,120.00,320.00,1.60,705.00,44400.00,60.00,645.00,20.00,495.00,95.00,555.00,165.00,385.00,155.00,10.00,0.00,95.00,130.00,46.50,20.50,415.00,390.00
"5350062.01",3.10,2645.00,2230.00,880000.00,2064.00,2620.00,0.00,0.00,15.00,0.00,115.00,2480.00,1.50,3810.00,64000.00,105.00,3775.00,40.00,2290.00,675.00,3140.00,545.00,2590.00,1500.00,115.00,45.00,710.00,220.00,54.40,14.60,2465.00,2355.00
"5350062.03",3.20,2505.00,2710.00,1580000.00,2370.00,2560.00,0.00,0.00,25.00,0.00,10.00,2530.00,1.60,4005.00,62400.00,50.00,3775.00,20.00,1965.00,810.00,2975.00,340.00,2635.00,1560.00,110.00,155.00,645.00,160.00,50.70,18.70,2385.00,2230.00
"5350062.04",2.90,5430.00,1960.00,759000.00,1998.00,5410.00,0.00,0.00,0.00,0.00,40.00,5360.00,1.60,8110.00,52800.00,190.00,8025.00,80.00,5075.00,1745.00,6280.00,750.00,5535.00,3175.00,245.00,325.00,1470.00,315.00,58.40,13.70,5565.00,5285.00
"5350063.03",3.00,3240.00,2256.00,794000.00,1692.00,3185.00,0.00,0.00,20.00,0.00,115.00,3040.00,1.50,4625.00,70000.00,140.00,4560.00,60.00,3680.00,695.00,3890.00,815.00,3075.00,1745.00,135.00,105.00,970.00,120.00,67.10,11.70,3575.00,3445.00
"5350063.04",3.10,3215.00,2168.00,854000.00,1540.00,3110.00,0.00,15.00,65.00,0.00,285.00,2745.00,1.50,4545.00,53600.00,355.00,4510.00,230.00,3305.00,1000.00,3545.00,880.00,2670.00,1585.00,170.00,75.00,775.00,75.00,57.20,19.70,3475.00,3270.00
"5350063.05",2.90,4195.00,2308.00,842000.00,1940.00,4250.00,0.00,0.00,0.00,0.00,135.00,4105.00,1.50,6185.00,60400.00,160.00,5945.00,60.00,4305.00,1025.00,4940.00,840.00,4095.00,2545.00,140.00,115.00,1120.00,180.00,65.90,14.80,4730.00,4545.00
"5350063.06",2.90,4020.00,1970.00,732000.00,1544.00,4080.00,5.00,0.00,40.00,5.00,335.00,3685.00,1.50,5875.00,57200.00,310.00,5445.00,190.00,4005.00,1135.00,4365.00,1030.00,3335.00,2030.00,140.00,100.00,910.00,145.00,57.50,16.30,3945.00,3765.00
"5350064.00",3.20,2960.00,2232.00,876000.00,1822.00,2930.00,10.00,5.00,100.00,20.00,415.00,2380.00,1.60,4560.00,80000.00,255.00,4310.00,130.00,3690.00,785.00,3555.00,825.00,2730.00,1550.00,170.00,95.00,755.00,160.00,67.10,14.10,3575.00,3435.00
"5350065.01",3.10,1435.00,1900.00,760000.00,1528.00,1465.00,0.00,0.00,5.00,0.00,65.00,1390.00,1.80,2415.00,60800.00,160.00,2255.00,105.00,1810.00,480.00,1820.00,525.00,1290.00,860.00,100.00,0.00,310.00,20.00,64.40,16.40,1855.00,1805.00
"5350065.02",3.00,5135.00,1800.00,470000.00,1074.00,5135.00,0.00,0.00,0.00,0.00,50.00,5085.00,2.20,9390.00,50400.00,1740.00,7650.00,990.00,5830.00,2465.00,5305.00,2275.00,3035.00,1995.00,240.00,45.00,685.00,70.00,47.00,20.00,5505.00,5225.00
"5350066.00",3.60,4235.00,1912.00,745000.00,1378.00,4190.00,20.00,30.00,100.00,55.00,840.00,3135.00,1.60,6495.00,67000.00,560.00,6040.00,235.00,4510.00,1465.00,4610.00,1390.00,3220.00,1935.00,225.00,85.00,855.00,125.00,57.80,14.30,4460.00,4300.00
"5350067.00",6.70,770.00,2710.00,1840000.00,2200.00,780.00,75.00,185.00,255.00,20.00,245.00,5.00,2.20,1475.00,153000.00,60.00,1405.00,10.00,995.00,175.00,1230.00,265.00,965.00,455.00,65.00,40.00,325.00,80.00,63.50,10.10,1035.00,1015.00
"5350068.00",5.40,1195.00,2650.00,1545000.00,1285.00,1225.00,65.00,240.00,285.00,100.00,460.00,80.00,2.00,2155.00,101000.00,165.00,1900.00,40.00,1370.00,345.00,1565.00,370.00,1195.00,565.00,90.00,60.00,355.00,130.00,59.70,9.90,1365.00,1350.00
"5350069.00",6.40,1860.00,2382.00,1506000.00,1660.00,1825.00,285.00,555.00,100.00,190.00,660.00,0.00,2.60,3905.00,135000.00,580.00,3375.00,190.00,2520.00,710.00,2700.00,530.00,2165.00,1295.00,140.00,25.00,555.00,160.00,59.10,8.60,2565.00,2525.00
